Name:  socialnetwork_user-mongodb_1 | Utilisation:  20.61 | shares  973.2540617240155
Name:  socialnetwork_user-timeline-service_1 | Utilisation:  27.21 | shares  1284.9220290883293
Name:  socialnetwork_user-service_1 | Utilisation:  8.36 | shares  394.7794253281305
Name:  socialnetwork_media-service_1 | Utilisation:  8.37 | shares  395.25164952110674
Name:  socialnetwork_social-graph-redis_1 | Utilisation:  4.25 | shares  200.69528201489888
Name:  socialnetwork_social-graph-service_1 | Utilisation:  31.38 | shares  1481.839517559418
Name:  socialnetwork_media-mongodb_1 | Utilisation:  0.27 | shares  12.750053210358283
Name:  socialnetwork_url-shorten-mongodb_1 | Utilisation:  27.21 | shares  1284.9220290883293
Name:  socialnetwork_text-service_1 | Utilisation:  64.17 | shares  3030.262646328485
Name:  socialnetwork_unique-id-service_1 | Utilisation:  8.87 | shares  418.86285916991835
Name:  socialnetwork_compose-post-service_1 | Utilisation:  112.83 | shares  5328.105569350833
Name:  socialnetwork_home-timeline-redis_1 | Utilisation:  0.14 | shares  6.611138701667258
Name:  socialnetwork_media-memcached_1 | Utilisation:  0.01 | shares  0.4722241929762327
Name:  socialnetwork_home-timeline-service_1 | Utilisation:  16.95 | shares  800.4200070947144
Name:  socialnetwork_user-timeline-redis_1 | Utilisation:  5.05 | shares  238.4732174529975
Name:  socialnetwork_post-storage-memcached_1 | Utilisation:  0.01 | shares  0.4722241929762327
Name:  socialnetwork_post-storage-service_1 | Utilisation:  21.24 | shares  1003.0041858815182
*****
Name:  socialnetwork_url-shorten-memcached_1 | Utilisation:  0.01 | shares  0.47664572032153535
Name:  socialnetwork_social-graph-redis_1 | Utilisation:  4.19 | shares  199.71455681472332
Name:  socialnetwork_social-graph-service_1 | Utilisation:  30.26 | shares  1442.329949692966
Name:  socialnetwork_url-shorten-service_1 | Utilisation:  28.7 | shares  1367.9732173228065
Name:  socialnetwork_user-service_1 | Utilisation:  8.23 | shares  392.2794278246236
Name:  socialnetwork_media-frontend_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_user-memcached_1 | Utilisation:  12.85 | shares  612.4897506131729
Name:  socialnetwork_nginx-thrift_1 | Utilisation:  40.68 | shares  1938.9947902680058
Name:  socialnetwork_user-mention-service_1 | Utilisation:  40.17 | shares  1914.6858585316077
Name:  socialnetwork_user-timeline-service_1 | Utilisation:  26.78 | shares  1276.4572390210717
Name:  socialnetwork_url-shorten-mongodb_1 | Utilisation:  27.61 | shares  1316.0188338077592
Name:  socialnetwork_media-memcached_1 | Utilisation:  0.01 | shares  0.47664572032153535
Name:  socialnetwork_compose-post-service_1 | Utilisation:  112.07 | shares  5341.768587643446
Name:  socialnetwork_user-timeline-mongodb_1 | Utilisation:  40.51 | shares  1930.8918130225397
Name:  socialnetwork_media-service_1 | Utilisation:  8.58 | shares  408.9620280358773
Name:  socialnetwork_home-timeline-service_1 | Utilisation:  15.98 | shares  761.6798610738135
Name:  socialnetwork_text-service_1 | Utilisation:  62.43 | shares  2975.6992319673454
Name:  socialnetwork_home-timeline-redis_1 | Utilisation:  0.11 | shares  5.243102923536889
Name:  socialnetwork_social-graph-mongodb_1 | Utilisation:  21.48 | shares  1023.835007250658
Name:  socialnetwork_unique-id-service_1 | Utilisation:  8.73 | shares  416.1117138407004
Name:  socialnetwork_post-storage-service_1 | Utilisation:  21.03 | shares  1002.385949836189
Name:  socialnetwork_post-storage-mongodb_1 | Utilisation:  22.45 | shares  1070.0696421218468
Name:  socialnetwork_user-timeline-redis_1 | Utilisation:  5.0 | shares  238.32286016076768
Name:  socialnetwork_media-mongodb_1 | Utilisation:  0.29 | shares  13.822725889324525
Name:  socialnetwork_post-storage-memcached_1 | Utilisation:  0.01 | shares  0.47664572032153535
Name:  socialnetwork_user-mongodb_1 | Utilisation:  20.41 | shares  972.8339151762536
*****
