Name:  socialnetwork-post-storage-service-1 | Utilisation:  17.67 | shares  35.34
Name:  socialnetwork-media-frontend-1 | Utilisation:  1 | shares  2.0
Name:  socialnetwork-user-mention-service-1 | Utilisation:  34.55 | shares  69.1
Name:  socialnetwork-url-shorten-mongodb-1 | Utilisation:  23.22 | shares  46.44
Name:  socialnetwork-url-shorten-service-1 | Utilisation:  26.03 | shares  52.06
Name:  socialnetwork-post-storage-memcached-1 | Utilisation:  1 | shares  2.0
Name:  socialnetwork-social-graph-mongodb-1 | Utilisation:  18.44 | shares  36.88
Name:  socialnetwork-media-memcached-1 | Utilisation:  1 | shares  2.0
Name:  socialnetwork-media-mongodb-1 | Utilisation:  1 | shares  2.0
Name:  socialnetwork-home-timeline-redis-1 | Utilisation:  1 | shares  2.0
Name:  socialnetwork-text-service-1 | Utilisation:  53.27 | shares  106.54
Name:  socialnetwork-compose-post-service-1 | Utilisation:  98.65 | shares  197.3
Name:  socialnetwork-user-mongodb-1 | Utilisation:  16.77 | shares  33.54
*****
Name:  socialnetwork-url-shorten-service-1 | Utilisation:  28.75 | shares  57.5
Name:  socialnetwork-text-service-1 | Utilisation:  61.52 | shares  123.04
Name:  socialnetwork-home-timeline-service-1 | Utilisation:  16.42 | shares  32.84
Name:  socialnetwork-social-graph-service-1 | Utilisation:  29.67 | shares  59.34
Name:  socialnetwork-social-graph-mongodb-1 | Utilisation:  21.45 | shares  42.9
Name:  socialnetwork-unique-id-service-1 | Utilisation:  8.44 | shares  16.88
Name:  socialnetwork-user-timeline-service-1 | Utilisation:  21.3 | shares  42.6
Name:  socialnetwork-user-service-1 | Utilisation:  8.46 | shares  16.92
Name:  socialnetwork-media-mongodb-1 | Utilisation:  1 | shares  2.0
Name:  socialnetwork-user-timeline-redis-1 | Utilisation:  5.18 | shares  10.36
Name:  socialnetwork-user-memcached-1 | Utilisation:  12.72 | shares  25.44
Name:  socialnetwork-social-graph-redis-1 | Utilisation:  4.16 | shares  8.32
Name:  socialnetwork-compose-post-service-1 | Utilisation:  112.86 | shares  225.72
Name:  socialnetwork-user-timeline-mongodb-1 | Utilisation:  30.53 | shares  61.06
Name:  socialnetwork-nginx-thrift-1 | Utilisation:  39.15 | shares  78.3
Name:  socialnetwork-post-storage-mongodb-1 | Utilisation:  22.3 | shares  44.6
Name:  socialnetwork-media-service-1 | Utilisation:  8.54 | shares  17.08
Name:  socialnetwork-url-shorten-memcached-1 | Utilisation:  1 | shares  2.0
Name:  socialnetwork-user-mention-service-1 | Utilisation:  39.14 | shares  78.28
Name:  socialnetwork-post-storage-service-1 | Utilisation:  20.56 | shares  41.12
