Name:  socialnetwork_home-timeline-redis_1 | Utilisation:  0.13 | shares  6.501465173942445
*****
Name:  socialnetwork_text-service_1 | Utilisation:  60.23 | shares  2947.998014523395
Name:  socialnetwork_compose-post-service_1 | Utilisation:  109.75 | shares  5371.78784814781
Name:  socialnetwork_user-timeline-mongodb_1 | Utilisation:  46.16 | shares  2259.3323651070878
Name:  socialnetwork_post-storage-mongodb_1 | Utilisation:  21.18 | shares  1036.6693997610078
Name:  socialnetwork_home-timeline-service_1 | Utilisation:  15.39 | shares  753.2739406195426
Name:  socialnetwork_home-timeline-redis_1 | Utilisation:  0.11 | shares  5.384024266936302
Name:  socialnetwork_user-timeline-service_1 | Utilisation:  26.02 | shares  1273.566467506205
Name:  socialnetwork_user-service_1 | Utilisation:  8.04 | shares  393.5232282378896
Name:  socialnetwork_user-memcached_1 | Utilisation:  12.33 | shares  603.5001746484054
Name:  socialnetwork_url-shorten-mongodb_1 | Utilisation:  25.76 | shares  1260.8405919661739
Name:  socialnetwork_nginx-thrift_1 | Utilisation:  38.52 | shares  1885.387406930785
Name:  socialnetwork_url-shorten-service_1 | Utilisation:  27.82 | shares  1361.6686827833446
Name:  socialnetwork_url-shorten-memcached_1 | Utilisation:  0.01 | shares  0.4894567515396638
Name:  socialnetwork_media-mongodb_1 | Utilisation:  0.8 | shares  39.1565401231731
Name:  socialnetwork_post-storage-memcached_1 | Utilisation:  0.01 | shares  0.4894567515396638
Name:  socialnetwork_user-mention-service_1 | Utilisation:  38.2 | shares  1869.7247908815157
Name:  socialnetwork_media-frontend_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_media-service_1 | Utilisation:  7.83 | shares  383.24463645555676
Name:  socialnetwork_post-storage-service_1 | Utilisation:  19.44 | shares  951.5039249931065
Name:  socialnetwork_social-graph-service_1 | Utilisation:  29.09 | shares  1423.8296902288819
Name:  socialnetwork_user-timeline-redis_1 | Utilisation:  5.01 | shares  245.21783252137155
Name:  socialnetwork_user-mongodb_1 | Utilisation:  19.09 | shares  934.3729386892181
Name:  socialnetwork_social-graph-mongodb_1 | Utilisation:  20.38 | shares  997.5128596378347
Name:  socialnetwork_media-memcached_1 | Utilisation:  0.02 | shares  0.9789135030793276
Name:  socialnetwork_unique-id-service_1 | Utilisation:  8.65 | shares  423.38009008180916
